Name,Uncalibrated,Histogram Binning,Isotonic Regression,Temperature Scaling,Beta Calibration,BC am,BC ab
sample_100,0.14978660134805577,0.16356363074647057,0.10283810716536308,0.05162591227226788,0.05764924253026645,0.046838032139672164,0.04667721056275899
blur_100,0.418663149625063,0.1281612815625138,0.09429747238755226,0.05121843859553337,0.05755828518006536,0.05072422979606522,0.09442561128073267
blur_242,0.27914999708533283,0.16940314629011685,0.15301500297254989,0.04329661893347899,0.060981221828195785,0.08070403466622036,0.10563079595565797
blur_32,0.3376876599755552,0.13924777208103076,0.09478075169854694,0.049462798419925874,0.06394348513748907,0.06262084187732803,0.13797874053319298
blur_376,0.3224811460574468,0.12783677286571926,0.0914630309243997,0.05332614401976267,0.04315636157989504,0.06285938200023442,0.07925881577862633
blur_498,0.20219202424089117,0.19756854959660108,0.16877349452839963,0.04786212229066423,0.06973812278774051,0.05185961443516943,0.07831033340758747
detail_100,0.13026220520337423,0.17942517843511369,0.122991913192802,0.039419916371504445,0.05588605249921482,0.04792492098278468,0.07058524597022273
detail_242,0.12634658449225955,0.24333530075020263,0.1903061055309243,0.04161994926631451,0.09633730769157409,0.0850275858740012,0.09094611563616328
detail_32,0.12163371831178664,0.1803530932797326,0.12846655896968312,0.03983438675602278,0.06201521398292648,0.05119699435101614,0.06732237575782671
detail_376,0.16509441817800202,0.1718221284945806,0.1099963598118888,0.06359771009120675,0.08526463881134987,0.0718784913751814,0.07327207547095085
detail_498,0.1465013035469585,0.19300524145364764,0.11711920566029019,0.04692372777395777,0.04238649770617486,0.047653598901298305,0.035605922142664614
edge_enhance_100,0.1908214062286748,0.16452861656745274,0.1002161495718691,0.039941253976689454,0.0707854591641161,0.06963147085573937,0.06819114625453948
edge_enhance_242,0.3499017818768819,0.16544696498248312,0.15226460453536772,0.06321048689385254,0.08407158063517677,0.07285263574785658,0.1758682332932949
edge_enhance_32,0.22533876741925873,0.16883837742937935,0.13108733995093239,0.06793989376889335,0.0669686740802394,0.08044590233100789,0.1026420884827773
edge_enhance_376,0.23550173537598712,0.19054491650727062,0.1616943228741487,0.07977412990397878,0.06802683590186966,0.12048135676317742,0.10937309041619302
edge_enhance_498,0.28365286972787646,0.1521110784345203,0.13458419799804688,0.060522201781471545,0.05064595388041602,0.057015826536549456,0.08655617821547719
sample_242,0.08118870909015337,0.2016087825430764,0.14673072579834195,0.06474746030237939,0.0624789066116015,0.051192479117049106,0.06394157482518091
sample_32,0.09076539024710653,0.20176374634106953,0.1236467357310984,0.041223272300428805,0.05053119492199687,0.04270660160316361,0.030821188704835054
sample_376,0.18543741575545736,0.23462101585335196,0.17475772154000072,0.103410394133793,0.13349713527494006,0.10596047007375294,0.13262904470165574
sample_498,0.14165849761830435,0.21041749214132627,0.11343870780534213,0.035630839731958165,0.061364070590999395,0.047748029960526385,0.07914412919018002
sharp_100,0.12269359772404037,0.18894804538951981,0.12543847411870954,0.056714687347412106,0.05379491762982472,0.048280469030141854,0.05616716113355425
sharp_242,0.1532193551129765,0.21114562054475147,0.12347650431924397,0.05006537407636642,0.05885749891400338,0.058308565583493996,0.06882498815655708
sharp_32,0.12901502405603726,0.20153197096453773,0.12539803148971665,0.048063781261444095,0.06729850787255502,0.07031054496765138,0.061645781364705825
sharp_376,0.18886888089279336,0.1814006910059187,0.15057142560680706,0.06842555102374819,0.09075981057352489,0.07861590219868553,0.11269969766338667
sharp_498,0.17870242898662883,0.1613426660994689,0.12902199173967044,0.05193924150533147,0.04361815892987782,0.035443392743666965,0.06011390305227704
smooth_100,0.22555520191788675,0.1443294112715456,0.1291963859233591,0.05632765774925551,0.05905222859647541,0.07322526075773769,0.07047763895657327
smooth_242,0.1417127075791359,0.21657339076201124,0.14171201038691733,0.03875111033519108,0.06052939108676381,0.051662967171933916,0.06461585675676663
smooth_32,0.09051116352279982,0.2313069091240565,0.09222283073597483,0.05709215367833774,0.04544467276997037,0.04250599670741295,0.051186497989628044
smooth_376,0.20798788852161826,0.19267161193821164,0.11898521059089237,0.03535148183504742,0.06877507333954175,0.055209347903728466,0.0643413579629527
smooth_498,0.08996282532811166,0.24926908254623414,0.13976358248127832,0.042024706353743856,0.03940020165509648,0.032720383935504485,0.05590696467293638
