Name,Uncalibrated,Histogram Binning,Isotonic Regression,Temperature Scaling,Beta Calibration,BC am,BC ab
blur_100,2.5145976838935096,12.647598642905553,6.032407018954141,1.8142630081928592,1.6832967927596636,1.6856907754950226,1.8111620640568435
blur_242,1.996771916879548,4.78646576417817,5.619938732849227,1.9966400359074274,2.1172289481096795,2.101719946761926,2.1671217619710497
blur_32,2.4903334572375266,11.98190171369248,5.641300540260143,1.8446982424729503,1.6582731697873936,1.6503011295768535,1.8265901541063148
blur_376,1.909255822536086,16.082537593460746,5.43412008660328,1.6333773775150378,1.584339533423384,1.532891839958805,1.6963929773450621
blur_498,1.8522121019025781,13.863832336862883,5.345250286722763,1.5991291155534175,1.6004133534348672,1.5876110016275198,1.6489584508621031
detail_100,1.2944451149477927,10.741054733080997,3.1185460636393527,1.1212958420034789,1.0878547891488093,1.096132700854699,1.1299030396207752
detail_242,1.8835835716459486,5.351901278528902,8.20778153480755,1.8412155640125274,2.2297660098142096,2.2211553298102484,2.3239207503530714
detail_32,1.337565139447204,11.152467383763028,5.117231285258507,1.1408302301233764,1.1344162912123525,1.0878096969826017,1.1912465742871994
detail_376,1.1873166368610932,12.95565412559443,5.15547876868604,1.1360887512876228,1.7999806234956042,1.7597345071519965,1.1775206065165953
detail_498,1.3067116995428867,12.512407260057,5.00950920894949,1.124893623531999,1.1227389321321,1.1201197905957492,1.132989154578083
edge_enhance_100,2.0103575216220504,11.438121137734916,6.175774896455308,1.5945092675212205,1.5716154543415823,1.53407277974119,1.5788303344697407
edge_enhance_242,2.0221512963374457,5.311425859050618,5.763156267470784,1.973777973320749,2.0555453939570323,2.055995607111189,2.038344692124261
edge_enhance_32,2.0389771353329635,11.66163294000758,6.954542485812886,1.5204482041618272,1.7688496297515102,1.5038113703558014,1.5960663699617403
edge_enhance_376,1.6705038882111776,12.31721717276507,5.716114988908585,1.5331056191989532,1.7177994266721524,1.5515912439806077,1.4914411883806395
edge_enhance_498,1.8633668770680591,10.335616390688552,6.096711224746758,1.4809092766571688,1.4075021420543392,1.3783380321366712,1.5061758397672222
sample_100,1.2310032605686805,12.35944435964028,4.977283333674229,1.0832665624713134,1.1136308102019958,1.0884377134441294,1.1153204132714827
smooth_498,1.442916747949955,13.662415368341737,7.488710851456142,1.257036766489762,1.2648782390521631,1.2098622254707798,1.4021366709429357
sample_242,1.8889528188440534,4.371599514351951,7.795463263296212,1.8621105164951748,2.03617757903205,2.0326430202855006,2.0886045249965455
sample_32,1.245276399348783,14.029417313279376,5.231171431247559,1.1106299387257967,1.2017942143795597,1.1173620762510432,1.1444292653040289
sample_376,1.1836929331993162,16.4983492863468,6.757546633088754,1.1175550488364236,1.258343743880331,1.1842052485148693,1.234462537133489
sample_498,1.3638853246400926,13.34500950920913,4.596423778657077,1.2153309447504645,1.4112570516084735,1.2622711065384888,1.4294292608374315
sharp_100,1.3631169644448926,13.048346526308192,5.926560762091023,1.1787679323281433,1.1274997728995773,1.120168959072584,1.177924815137198
sharp_242,1.899741371009085,4.29191524664147,7.798266028066476,1.8388039521376291,2.802941541473071,2.8022828436228964,2.807764267921448
sharp_32,1.4574975942155863,11.769074403461483,4.0721797070021015,1.2090250258490565,1.267156252046633,1.1854844663504305,1.3568152033294447
sharp_376,1.2540175768679305,14.919436424647769,6.437617297445734,1.1859635489586313,1.353296696017561,1.2691219225099646,1.4247917500571607
sharp_498,1.404191706279482,12.397513240542677,6.450781272875352,1.2012280010390695,1.2154740610998125,1.1650211832404602,1.3051894072179373
smooth_100,1.472166321422891,13.464604512237841,6.386009943977826,1.255158924839299,2.0164245322781302,2.020173863237077,1.4726860286804409
smooth_242,1.866673467777566,4.737441011700366,5.667851952380604,1.853844866416637,1.8833684633568757,1.8888529544177517,1.9075920504993862
smooth_32,1.4448918521875627,13.808764571050803,4.247768736119485,1.3238679688824329,1.269758501963483,1.2715165715555972,1.3488734013711412
smooth_376,1.5851796035364643,14.59500922544135,4.890138646638435,1.3551469664514944,1.275557448832939,1.268443670273086,1.3524498024240084
